tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
329.00;208356048#0_1;259.06;11.07;153.00;0.00;321457779#0_0;5.10;0.00;tripinfo_153;176.00;153;0;1522.87;1.00;32.02;DEFAULT_VEHTYPE;;9
331.00;207989397_0;43.54;13.66;156.00;0.00;219276447_0;5.10;0.00;tripinfo_156;175.00;156;0;1697.86;1.00;22.64;DEFAULT_VEHTYPE;;0
332.00;126550198_0;90.06;9.94;179.00;0.00;72098844_0;5.10;0.00;tripinfo_179;153.00;179;0;1507.39;1.00;29.08;DEFAULT_VEHTYPE;;4
333.00;442662524_1;3.23;5.12;154.00;0.00;244757077_0;5.10;0.00;tripinfo_154;179.00;154;0;1783.98;1.00;24.72;DEFAULT_VEHTYPE;;0
338.00;206951039_0;3.41;10.54;182.00;0.00;562102993_0;5.10;0.00;tripinfo_182;156.00;182;0;1585.67;1.00;25.94;DEFAULT_VEHTYPE;;0
339.00;27028143#0_0;181.09;10.50;175.00;0.00;48158098#0_0;5.10;0.00;tripinfo_175;164.00;175;0;1652.84;1.00;17.89;DEFAULT_VEHTYPE;;0
340.00;415931799#0_1;45.42;15.76;142.00;0.00;477174168#1_0;5.10;0.00;tripinfo_142;198.00;142;0;2072.60;1.00;17.29;DEFAULT_VEHTYPE;;0
342.00;161357702#1_0;58.57;7.65;147.00;0.00;326309726#3_0;5.10;0.00;tripinfo_147;195.00;147;0;1781.71;1.00;26.17;DEFAULT_VEHTYPE;;0
343.00;287533401#1_0;8.83;9.84;126.00;0.00;287533507_0;5.10;0.00;tripinfo_126;217.00;126;0;2351.42;1.00;39.99;DEFAULT_VEHTYPE;;16
347.00;451653029#2_1;37.79;13.93;163.00;0.00;72098844_0;5.10;0.00;tripinfo_163;184.00;163;0;2005.43;1.00;30.15;DEFAULT_VEHTYPE;;0
357.00;208353000_0;1.74;10.70;163.00;2.00;-326309732_0;5.10;0.00;tripinfo_161;194.00;161;0;2108.27;1.00;20.45;DEFAULT_VEHTYPE;;0
364.00;287653107#0_0;56.74;16.38;174.00;0.00;349360686_0;0.20;0.00;tripinfo_174;190.00;174;0;2169.38;1.00;17.13;DEFAULT_VEHTYPE;;0
364.00;454586924_0;1.57;7.71;169.00;0.00;287533469#5_0;5.10;0.00;tripinfo_169;195.00;169;0;2059.61;1.00;26.33;DEFAULT_VEHTYPE;;0
366.00;-189469606_0;3.80;11.05;160.00;0.00;208352995_0;5.10;0.00;tripinfo_160;206.00;160;0;1944.71;1.00;19.20;DEFAULT_VEHTYPE;;0
368.00;444048529#3_1;143.18;16.12;166.00;1.00;321457779#2_0;5.10;0.00;tripinfo_165;202.00;165;0;1917.63;1.00;33.54;DEFAULT_VEHTYPE;;9
